Wall time,Step,Value
1748300906.104043,130048,-1.4256775379180908
1748300906.712162,131072,-1.4293720722198486
1748300907.3255548,132096,-1.4305816888809204
1748300907.942094,133120,-1.431013822555542
1748300908.562785,134144,-1.4310804605484009
1748300909.1809778,135168,-1.4314320087432861
1748300909.7983098,136192,-1.430889368057251
1748300910.418862,137216,-1.428943395614624
1748300911.037614,138240,-1.4277583360671997
1748300911.655744,139264,-1.4302645921707153
1748300912.272647,140288,-1.4336318969726562
1748300912.9025779,141312,-1.432624101638794
1748300913.518251,142336,-1.433372139930725
1748300914.143039,143360,-1.4360548257827759
1748300914.767406,144384,-1.434985637664795
1748300915.407294,145408,-1.4350402355194092
1748300916.0327601,146432,-1.4372206926345825
1748300916.652101,147456,-1.44110906124115
1748300917.26757,148480,-1.4423176050186157
1748300917.871299,149504,-1.4422640800476074
1748300918.482622,150528,-1.4426453113555908
1748300919.09944,151552,-1.451229214668274
1748300919.713794,152576,-1.4573216438293457
1748300920.3316748,153600,-1.4571421146392822
1748300920.9483578,154624,-1.4567002058029175
1748300921.56464,155648,-1.4560943841934204
1748300922.182537,156672,-1.454621434211731
1748300922.7998369,157696,-1.4530971050262451
1748300923.4278321,158720,-1.4538488388061523
1748300924.039637,159744,-1.4545634984970093
1748300924.6539361,160768,-1.4555100202560425
1748300925.269446,161792,-1.4573088884353638
1748300925.8803608,162816,-1.456918716430664
1748300926.496062,163840,-1.455782175064087
1748300927.107991,164864,-1.4556835889816284
1748300927.723712,165888,-1.455778956413269
1748300928.3436108,166912,-1.4563384056091309
1748300928.960882,167936,-1.4565907716751099
1748300929.576608,168960,-1.4557206630706787
1748300930.1959732,169984,-1.4547836780548096
1748300930.816931,171008,-1.4552061557769775
1748300931.439408,172032,-1.4547568559646606
1748300932.052672,173056,-1.455680251121521
1748300932.66786,174080,-1.4546843767166138
1748300933.285952,175104,-1.4533050060272217
1748300933.896158,176128,-1.453668475151062
1748300934.510169,177152,-1.4540241956710815
1748300935.129885,178176,-1.4551658630371094
1748300935.747104,179200,-1.4551478624343872
1748300936.359144,180224,-1.4545564651489258
1748300936.9768388,181248,-1.4522581100463867
1748300937.589626,182272,-1.4497166872024536
1748300938.205763,183296,-1.4486675262451172
1748300938.8235772,184320,-1.4489355087280273
1748300939.440424,185344,-1.4501886367797852
1748300940.060085,186368,-1.452623724937439
1748300940.673764,187392,-1.452499508857727
1748300941.287526,188416,-1.4521548748016357
1748300941.912915,189440,-1.4514713287353516
1748300942.530327,190464,-1.4509867429733276
1748300943.150655,191488,-1.4507849216461182
1748300943.75735,192512,-1.4492828845977783
1748300944.366632,193536,-1.4494279623031616
1748300944.982172,194560,-1.4488164186477661
1748300945.59024,195584,-1.4485176801681519
1748300946.2119942,196608,-1.4492137432098389
1748300946.838867,197632,-1.4493367671966553
1748300947.4586859,198656,-1.4506458044052124
1748300948.064202,199680,-1.453658938407898
1748300948.671983,200704,-1.456646203994751
1748300949.294776,201728,-1.454958438873291
1748300949.911754,202752,-1.448482871055603
1748300950.535806,203776,-1.436174750328064
1748300951.161216,204800,-1.436844825744629
1748300951.779701,205824,-1.4378917217254639
1748300952.394515,206848,-1.439862847328186
1748300953.014127,207872,-1.4379668235778809
1748300953.628376,208896,-1.4361945390701294
1748300954.244009,209920,-1.4349719285964966
1748300954.860513,210944,-1.4345520734786987
1748300955.480862,211968,-1.4243556261062622
1748300956.1023118,212992,-1.4128071069717407
1748300956.742083,214016,-1.4071801900863647
1748300957.352341,215040,-1.4010875225067139
1748300957.960843,216064,-1.3941099643707275
1748300958.574059,217088,-1.3906251192092896
1748300959.2088451,218112,-1.3912054300308228
1748300959.83468,219136,-1.3916990756988525
1748300960.454596,220160,-1.3927563428878784
1748300961.089484,221184,-1.3927760124206543
1748300961.70317,222208,-1.3899390697479248
1748300962.334888,223232,-1.3870785236358643
1748300962.94121,224256,-1.3877284526824951
1748300963.549203,225280,-1.3877382278442383
1748300964.15766,226304,-1.387243390083313
1748300964.763071,227328,-1.3860273361206055
1748300965.3692732,228352,-1.3821337223052979
1748300965.9755468,229376,-1.3814326524734497
1748300966.585424,230400,-1.3817682266235352
1748300967.188225,231424,-1.3817051649093628
1748300967.790905,232448,-1.381818413734436
1748300968.394926,233472,-1.382182240486145
1748300969.002857,234496,-1.3827849626541138
1748300969.612695,235520,-1.3828307390213013
1748300970.216776,236544,-1.3817780017852783
1748300970.821779,237568,-1.3798617124557495
1748300971.427555,238592,-1.3796935081481934
1748300972.030904,239616,-1.380049228668213
